,Temperature,Latitude,Longitude,Humidity,Wind Speed,Cloud,Country,Date,City
83,50.22,63.8424,-22.4338,93,13.8,0,IS,1627433628,grindavik
84,64.42,59.7035,30.7861,67,4.65,100,RU,1627433197,nikolskoye
85,63.91,57.79,-152.4072,55,5.75,40,US,1627433227,kodiak
86,72.09,42.097,-79.2353,78,5.75,1,US,1627433007,jamestown
87,59.36,47.9714,80.4392,54,10.07,0,KZ,1627433705,ayagoz
88,73.0,54.7682,-101.865,52,5.64,0,CA,1627433069,flin flon
89,51.89,-34.0033,24.7314,82,15.26,55,ZA,1627433141,kruisfontein
90,48.04,-33.8667,121.9,69,15.68,2,AU,1627432968,esperance
91,70.43,7.9611,-6.6731,93,6.15,100,CI,1627433706,seguela
92,50.47,61.3833,152.75,58,12.3,100,RU,1627433706,talaya
93,42.82,71.2906,-156.7887,84,19.57,90,US,1627433525,barrow
94,71.28,28.9611,-13.645,68,16.11,75,ES,1627433707,tias
95,64.18,64.2457,12.3778,63,5.39,51,NO,1627433609,snasa
96,60.53,9.35,42.8,79,19.33,100,ET,1627433707,jijiga
97,61.54,-33.5906,26.891,86,14.5,24,ZA,1627433651,port alfred
98,71.83,5.4327,-2.1428,92,3.74,100,GH,1627433707,prestea
99,54.72,-34.5322,20.0403,71,8.05,100,ZA,1627433606,bredasdorp
100,73.22,3.8653,-67.9239,97,3.42,100,CO,1627433708,inirida
101,76.44,29.6036,52.5388,23,0.0,20,IR,1627433708,shiraz
102,78.89,57.8406,108.3492,45,0.67,0,RU,1627433708,alekseyevsk
103,62.08,64.8569,-147.8028,74,9.22,90,US,1627433296,college
104,56.48,-23.65,-70.4,80,4.68,43,CL,1627433421,antofagasta
105,69.78,20.931,-17.0347,83,20.71,38,MR,1627433127,nouadhibou
106,54.93,-42.8794,147.3294,67,5.99,75,AU,1627433595,hobart
107,67.08,43.2128,-75.4557,99,3.69,78,US,1627433709,roma
108,70.57,-21.55,167.8833,59,14.92,100,NC,1627433710,tadine
109,80.46,11.2833,-15.8333,81,10.74,100,GW,1627433448,bubaque
110,67.37,-20.0064,57.6608,90,5.99,100,MU,1627433377,grand gaube
111,81.72,5.4112,100.3354,85,1.01,20,MY,1627433277,georgetown
112,92.25,33.6416,42.8251,20,15.88,0,IQ,1627433710,hit
113,50.94,-45.4167,167.7167,75,3.13,100,NZ,1627433395,te anau
114,77.68,-18.65,-173.9833,83,3.44,75,TO,1627433361,neiafu
115,80.69,13.0667,-59.5333,78,16.11,40,BB,1627433711,oistins
116,67.59,58.8053,-122.7002,56,0.0,40,CA,1627433711,fort nelson
117,87.46,28.017,-97.5169,60,10.78,53,US,1627433407,san patricio
118,78.01,5.3833,-52.95,85,8.12,3,GF,1627433569,sinnamary
119,79.86,37.7021,-121.9358,41,11.5,1,US,1627433452,dublin
120,66.45,-20.3428,57.7575,100,14.97,75,MU,1627433441,bambous virieux
121,51.55,72.7868,-56.1549,69,11.9,100,GL,1627433605,upernavik
